id,observed_on_string,observed_on,time_observed_at,time_zone,created_at,image_url,tag_list,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,taxon_geoprivacy,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
260,"March 13, 2005",2005-03-13,,Athens,2008-05-18 04:41:03 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/287/medium.jpg,flower,5,0,Israel,32.5868885056,35.5039920417,,,,,29093,obscured,true,Iris haynei,Iris haynei,,Plantae,49563,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,,Irideae,,Iris,,Iris haynei,,,,
261,"April 8, 2007",2007-04-08,,Athens,2008-05-18 04:51:31 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/290/medium.jpg,Parasitic Flower,3,0,israel,30.4932994843,34.6596984863,,,,,,,false,יחנוק המדבר,Cistanche tubulosa,desert hyacinth,Plantae,49562,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,,Orobancheae,,Cistanche,,Cistanche tubulosa,,,,
448437,2009-10-09 11:29:03,2009-10-09,2009-10-09 15:29:03 UTC,Eastern Time (US & Canada),2013-11-05 02:41:32 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/565431/medium.jpg,"",1,0,"Maysåt, An Nabatiyah, Lebanon",33.247588,35.64866,,,,,,,false,arabian pea,Bituminaria bituminosa,arabian pea,Plantae,75771,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Psoraleeae,,Bituminaria,,Bituminaria bituminosa,,,,
1111374,2014-03-05,2014-03-05,,Jerusalem,2014-12-04 19:37:55 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/1397036/medium.jpg,"",4,0,"HaDarom, IL",31.3434563104,35.0280800571,,,,,29252,obscured,true,Iris atrofusca,Iris atrofusca,Judean Iris,Plantae,447865,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,,Irideae,,Iris,,Iris atrofusca,,,,
1150444,2014-11-29,2014-11-29,,Rome,2014-12-29 15:16:25 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/1449501/medium.JPG,"",1,0,Wadi Arugot,31.457487,35.363841,1200,,,,1200,,false,Lilac chaste tree,Vitex agnus-castus,Lilac chaste tree,Plantae,170271,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Viticoideae,,,,Vitex,,Vitex agnus-castus,,,,
1238910,2014-12-04,2014-12-04,,Rome,2015-02-17 08:54:57 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/1560042/medium.JPG,"",2,0,Israel,32.6513642585,34.8661059271,200,,,,29066,,true,Narcissus tazetta,Narcissus tazetta,Bunch-flowered Daffodil,Plantae,56027,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,,Narcisseae,,Narcissus,,Narcissus tazetta,,,,
1239468,2014-12-04,2014-12-04,,Rome,2015-02-17 19:48:41 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/1560765/medium.JPG,"",5,0,Israel,32.7544738627,34.9679105343,200,,,,29066,,true,poppy anemone,Anemone coronaria,poppy anemone,Plantae,244745,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Anemone,,Anemone coronaria,,,,
1487750,2015-02-05,2015-02-05,,Hawaii,2015-05-14 15:44:36 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/1843732/medium.jpg,insects,4,0,"HaMerkaz, IL",32.33292,34.85992,,,,,,open,false,Thistle Mantis,Blepharopsis mendica,Thistle Mantis,Insecta,84284,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Mantodea,Eumantodea,Hymenopoidea,Empusidae,Blepharodinae,,,,Blepharopsis,,Blepharopsis mendica,,,,
1487817,2015-01-31,2015-01-31,,Hawaii,2015-05-14 16:03:48 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/1843866/medium.jpg,Flowers,4,0,"Haifa, IL",32.81841,34.9885,,,,,,,false,poppy anemone,Anemone coronaria,poppy anemone,Plantae,244745,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Anemone,,Anemone coronaria,,,,
1500790,2014-06-17,2014-06-17,,Hawaii,2015-05-17 08:27:14 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/1858836/medium.JPG,Thomisidae,1,0,,32.81841,34.9885,,,,,,,false,Thomisus onustus,Thomisus onustus,Heather crab spider,Arachnida,59281,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,Thomisinae,,Thomisini,,Thomisus,,Thomisus onustus,,,,
2441946,Tue Dec 01 2015 14:28:15 GMT+0200 (GMT+2),2015-12-01,2015-12-01 12:28:15 UTC,Pretoria,2015-12-01 12:28:35 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/2724578/medium.jpg,"",4,0,"הבנקים, חיפה, חיפה, IL",32.819141,34.996394,200,,,,200,,false,poppy anemone,Anemone coronaria,poppy anemone,Plantae,244745,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Anemone,,Anemone coronaria,,,,
2455355,Sun Dec 06 2015 16:03:52 GMT+0200 (GMT+2),2015-12-06,2015-12-06 14:03:52 UTC,Pretoria,2015-12-06 18:27:34 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/2745334/medium.jpg,"",4,0,"Golan, IL",32.9630166667,35.6845633333,,,,,,,false,Bunch-flowered Daffodil,Narcissus tazetta,Bunch-flowered Daffodil,Plantae,56027,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,,Narcisseae,,Narcissus,,Narcissus tazetta,,,,
2471452,2015-12-12 2:14:22 אחה״צ GMT+02:00,2015-12-12,2015-12-12 12:14:22 UTC,Pretoria,2015-12-12 12:14:43 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/2767056/medium.jpeg,"",2,0,"Golan, IL",32.99977856,35.78283482,3,,,,3,,false,Bunch-flowered Daffodil,Narcissus tazetta,Bunch-flowered Daffodil,Plantae,56027,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,,Narcisseae,,Narcissus,,Narcissus tazetta,,,,
2484564,2015-12-17 12:34:47 PM GMT+02:00,2015-12-17,2015-12-17 10:34:47 UTC,Pretoria,2015-12-17 11:00:36 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/2784541/medium.jpg,"",2,0,"Golan, IL",32.98390995,35.68515306,7,,,,7,,false,Bunch-flowered Daffodil,Narcissus tazetta,Bunch-flowered Daffodil,Plantae,56027,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,,Narcisseae,,Narcissus,,Narcissus tazetta,,,,
2505178,2015-12-26 12:19:13 PM GMT+02:00,2015-12-26,2015-12-26 10:19:13 UTC,Pretoria,2015-12-26 11:55:59 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/2813034/medium.jpg,"",5,0,"Golan, IL",32.9998435,35.73980821,6,,,,6,,false,נרקיס מצוי,Narcissus tazetta,Bunch-flowered Daffodil,Plantae,56027,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,,Narcisseae,,Narcissus,,Narcissus tazetta,,,,
2566949,2016-01-09 3:35:10 אחה״צ GMT+02:00,2016-01-09,2016-01-09 13:35:10 UTC,Pretoria,2016-01-09 15:56:25 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/2861539/medium.jpeg,"",4,0,"Golan, IL",33.17204283,35.69182268,7,,,,7,,false,poppy anemone,Anemone coronaria,poppy anemone,Plantae,244745,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Anemone,,Anemone coronaria,,,,
2588733,2016-01-09,2016-01-09,,Jerusalem,2016-01-17 16:38:53 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/2892934/medium.JPG,"",4,0,"Golan, IL",33.150294,35.687821,,,,,,,false,poppy anemone,Anemone coronaria,poppy anemone,Plantae,244745,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Anemone,,Anemone coronaria,,,,
2629903,2016-01-30 12:42:02 PM GMT+02:00,2016-01-30,2016-01-30 10:42:02 UTC,Pretoria,2016-01-30 10:44:09 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/2946716/medium.jpeg,"",2,0,"Golan, IL",32.8353503856,35.7971299382,10,,,,10,,false,נרקיס מצוי,Narcissus tazetta,Bunch-flowered Daffodil,Plantae,56027,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,,Narcisseae,,Narcissus,,Narcissus tazetta,,,,
